,city,cloudiness,country,date,humidity,lat,lng,max_temp,wind speed
276,Canico,20,PT,1547326800,72,32.63,-16.85,17,6.7
277,Gamba,0,CN,1547330112,48,28.28,88.52,-21.37,3.3
278,Port Hueneme,75,US,1547326920,67,34.15,-119.2,16.7,3.6
279,Provideniya,12,RU,1547330118,100,64.42,-173.23,-24.72,7.9
280,Kaeo,0,NZ,1547330122,55,-35.1,173.78,22.44,1.95
281,Ribeira Brava,20,PT,1547326800,72,32.65,-17.07,17,6.7
282,Virginia Beach,90,US,1547328900,62,36.85,-75.98,5.6,4.1
283,Smithers,90,CA,1547327700,100,54.78,-127.17,1,1.0
284,Berck,90,FR,1547328600,87,50.41,1.57,9,5.7
285,Waipawa,0,NZ,1547330144,75,-39.94,176.59,20.09,2.05
286,Mackay,20,CA,1547326800,86,53.65,-115.58,-2,1.0
287,Hamina,0,FI,1547328000,92,60.57,27.2,-8,2.1
288,Noumea,90,NC,1547328600,69,-22.28,166.46,28,5.7
289,Husavik,76,CA,1547330164,95,50.56,-96.99,-7.74,3.15
290,Vestmannaeyjar,92,IS,1547330118,100,63.44,-20.27,4.64,7.6
291,Hofn,92,IS,1547330170,100,64.25,-15.21,2.41,4.6
292,Szydlowiec,88,PL,1547330177,96,51.23,20.86,1.31,6.45
293,Magdagachi,68,RU,1547330183,74,53.45,125.8,-21.77,1.2
294,Zhanaozen,0,KZ,1547330187,87,43.35,52.85,0.84,4.15
295,Igarka,76,RU,1547330190,62,67.47,86.57,-36.59,9.4
296,Arlit,36,NE,1547330193,44,18.74,7.39,15.14,2.85
297,Ribeira Grande,40,PT,1547326800,72,38.52,-28.7,16,9.3
298,Honiara,80,SB,1547330200,100,-9.43,159.96,24.29,1.3
299,Binzhou,0,CN,1547330203,60,37.38,117.96,-8.09,2.1
300,Vabalninkas,64,LT,1547330206,88,55.98,24.75,-2.99,2.95
301,Xuddur,0,SO,1547330209,66,4.12,43.89,21.44,4.0
302,Boone,90,US,1547329200,75,36.22,-81.67,6,1.2
303,Veraval,90,FR,1547328600,87,49.65,0.71,9,5.7
304,Hanna,8,CA,1547330220,74,51.64,-111.93,2.01,1.7
305,Tabou,0,CI,1547330223,99,4.42,-7.36,28.26,3.65
306,Ilulissat,75,GL,1547326200,52,69.22,-51.1,-22,4.1
307,Winona,90,CA,1547328420,73,43.21,-79.65,-4,6.2
308,Port Moresby,92,PG,1547330236,100,-9.47,147.16,25.51,2.25
309,Valparaiso,90,US,1547329320,81,41.47,-87.06,-1,6.7
310,Ust-Kuyga,56,RU,1547330243,59,70.0,135.55,-36.37,1.2
311,Mezen,92,RU,1547330246,84,65.85,44.24,-4.74,3.8
312,Martinsburg,90,US,1547328900,84,39.46,-77.96,1.1,1.5
313,Sosnovo-Ozerskoye,20,RU,1547330253,40,52.53,111.54,-26.09,1.05
314,Mahibadhoo,24,MV,1547330256,100,3.78,72.97,27.54,4.55
315,Upernavik,20,GL,1547330259,100,72.79,-56.15,-20.74,5.1
316,Hithadhoo,8,MV,1547330262,100,-0.6,73.08,27.41,1.95
317,Araouane,12,ML,1547330266,22,18.9,-3.53,14.79,4.75
318,Bambous Virieux,40,MU,1547326800,78,-20.34,57.76,27,5.7
319,Kontagora,0,NG,1547330272,65,10.4,5.47,21.96,0.45
320,Caravelas,12,BR,1547330275,100,-17.73,-39.27,27.16,5.2
321,Nizhneudinsk,36,RU,1547330279,59,54.91,99.03,-17.17,3.95
322,Mehamn,88,NO,1547330282,90,71.03,27.85,-0.19,6.25
323,Mpika,88,ZM,1547330285,96,-11.84,31.4,18.51,2.9
324,Banjar,92,ID,1547330289,98,-7.37,108.54,21.76,1.15
325,Shahrud,0,IR,1547330292,76,36.42,54.97,-6.99,2.2
326,Cherskiy,56,RU,1547330295,51,68.75,161.3,-27.37,0.7
327,Taguatinga,40,BR,1547326800,73,-15.83,-48.06,22,1.5
328,San Policarpo,48,PH,1547330305,97,12.18,125.51,25.34,5.0
329,Talnakh,44,RU,1547330308,90,69.49,88.39,-40.44,3.85
330,Kalmunai,88,LK,1547330311,100,7.42,81.82,22.51,2.35
331,Micheweni,20,TZ,1547330314,100,-4.97,39.83,28.14,8.15
332,Kassala,0,SD,1547330018,55,15.45,36.38,17.66,1.15
333,Tsumeb,0,NA,1547330321,20,-19.25,17.72,25.29,5.55
334,Kenai,20,US,1547326560,72,60.55,-151.26,-13.9,4.1
335,Zhezkazgan,48,KZ,1547330223,75,47.8,67.71,-15.07,3.2
336,Wenling,36,CN,1547330333,100,28.38,121.38,5.59,4.65
337,Henties Bay,0,NA,1547330337,100,-22.12,14.28,16.76,3.3
338,Iracoubo,76,GF,1547330340,67,5.48,-53.21,26.91,2.9
339,Belle Fourche,1,US,1547328900,74,44.67,-103.85,5,3.1
340,Umm Lajj,64,SA,1547330346,100,25.02,37.27,20.46,2.7
341,Beni,20,CD,1547330350,88,0.49,29.47,18.54,1.2
342,Kajaani,75,FI,1547328000,79,64.22,27.73,-6,4.1
343,El Carmen,75,AR,1547326800,60,-24.39,-65.26,24,3.1
344,Fukue,20,JP,1547328600,100,35.03,136.69,3,4.1
345,Tadine,80,NC,1547330363,100,-21.55,167.88,25.59,9.15
346,Shigony,68,RU,1547330366,95,53.39,48.68,-4.62,4.7
347,Roura,40,GF,1547328600,74,4.73,-52.33,27,3.6
348,Ghanzi,0,BW,1547330373,58,-21.7,21.65,22.34,1.05
349,Mizdah,0,LY,1547330376,63,31.45,12.98,4.14,6.85
350,Emerald,0,AU,1547326800,78,-23.53,148.16,24,4.6
351,Idrinskoye,12,RU,1547330386,41,54.37,92.14,-25.57,1.3
352,Mount Pleasant,90,US,1547328900,68,33.16,-94.97,8.3,9.3
353,Labuhan,68,ID,1547330392,97,-2.54,115.51,22.96,0.75
354,Makat,88,KZ,1547330396,93,47.65,53.35,0.91,6.7
355,Cockburn Town,88,TC,1547330399,100,21.46,-71.14,24.94,8.75
356,Karratha,0,AU,1547330403,62,-20.74,116.85,22.41,1.5
357,Lodwar,0,KE,1547330407,35,3.12,35.6,22.46,3.15
358,Palaia Fokaia,75,GR,1547329800,61,37.72,23.95,8,5.7
359,Basco,90,US,1547329980,88,40.33,-91.2,0,6.2
360,Ongandjera,0,NA,1547330420,18,-17.88,15.07,26.66,7.25
361,Nuuk,75,GL,1547326200,85,64.17,-51.74,-4,5.7
362,Vardo,90,US,1547328900,65,39.62,-77.74,1.1,2.1
363,San Javier,0,ES,1547328600,80,37.81,-0.83,4,3.1
364,Lewisporte,90,CA,1547326800,79,49.25,-55.06,-4,4.6
365,San-Pedro,0,CI,1547330437,90,4.75,-6.64,26.31,3.0
366,Svay Rieng,8,KH,1547330440,95,11.08,105.8,23.14,1.45
367,Norman Wells,20,CA,1547326800,73,65.28,-126.83,-35,1.5
368,Toppenish,90,US,1547330100,100,46.38,-120.31,5.6,1.5
369,Sinnamary,20,GF,1547330450,93,5.38,-52.96,26.41,4.55
370,Nouadhibou,0,MR,1547326800,45,20.93,-17.03,19,5.1
371,Novo Aripuana,0,BR,1547330457,70,-5.12,-60.38,29.69,1.3
372,Nalut,0,LY,1547330460,83,31.86,10.98,-0.17,2.0
373,Salvador,20,BR,1547326800,66,-12.98,-38.48,29,3.6
374,Kruisfontein,0,ZA,1547330467,90,-34.0,24.73,17.44,3.35
375,Ponta Delgada,75,PT,1547326800,77,37.73,-25.67,16,5.7
376,Otradnoye,40,RU,1547328600,92,59.77,30.8,-6,5.0
377,Kupang,75,ID,1547328600,94,-10.16,123.6,25,1.0
378,Mikhaylovka,56,RU,1547330480,72,52.96,103.29,-17.69,3.5
379,Matara,88,PE,1547330483,73,-13.74,-72.9,12.51,1.15
380,Sorong,64,ID,1547330490,100,-0.86,131.25,26.79,3.45
381,La Palma,68,CO,1547330494,60,5.36,-74.39,25.64,0.95
382,Thunder Bay,75,CA,1547326800,85,48.41,-89.26,-9,4.6
383,Kirovskiy,0,RU,1547330500,34,45.09,133.51,-23.24,1.15
384,Guerrero Negro,44,MX,1547330503,72,27.97,-114.04,18.26,2.65
385,Biak,56,ID,1547330507,100,-0.91,122.88,25.01,0.8
386,Zhangye,0,CN,1547330513,65,38.94,100.46,-15.42,2.75
387,Chumikan,12,RU,1547330516,62,54.72,135.31,-25.17,1.65
388,Comodoro Rivadavia,20,AR,1547326800,28,-45.87,-67.48,20,6.2
389,Pingliang,48,CN,1547330523,66,35.54,106.68,-12.69,0.7
390,Pangnirtung,12,CA,1547330526,46,66.15,-65.72,-33.87,2.55
391,Hasaki,90,JP,1547328600,100,35.73,140.83,4,4.1
392,Tychy,75,PL,1547328600,97,50.12,18.99,2,6.2
393,Kedgwick,68,CA,1547330539,61,47.65,-67.35,-11.07,3.75
394,Xichang,0,CN,1547330542,32,27.88,102.25,2.41,1.0
395,Harboore,88,DK,1547328000,87,56.62,8.18,7,8.2
396,Taltal,0,CL,1547330558,61,-25.41,-70.49,20.29,2.2
397,Berwick,1,US,1547328960,38,41.06,-76.25,0,1.4
398,Shimoda,92,JP,1547330568,100,34.7,138.93,9.01,9.25
399,Kholodnyy,32,RU,1547330571,47,62.72,147.95,-34.99,1.15
400,Gizo,0,IL,1547329800,81,31.8,34.94,11,2.6
401,Nuristan,0,UZ,1547328600,80,38.49,65.64,2,4.1
402,Erseke,0,AL,1547330581,96,40.34,20.68,-12.79,0.85
403,Neiafu,40,TO,1547326800,70,-18.65,-173.98,29,3.6
404,Ostrovnoy,88,RU,1547330588,95,68.05,39.51,-6.67,3.4
405,The Valley,40,AI,1547326800,78,18.22,-63.06,25,5.1
406,Port Blair,80,IN,1547330597,98,11.67,92.75,28.41,5.2
407,Kolpashevo,0,RU,1547330600,43,58.31,82.9,-32.82,1.95
408,Vestmanna,92,FO,1547328000,100,62.16,-7.17,6,1.5
409,Haapiti,90,PF,1547328600,66,-17.57,-149.87,30,7.2
410,Huarmey,0,PE,1547330326,47,-10.07,-78.15,26.19,2.9
411,Ullal,0,IN,1547328600,78,12.8,74.85,23,1.85
412,Malindi,0,KE,1547330617,91,-3.22,40.12,26.51,6.75
413,Mashhad,20,IR,1547328600,56,36.3,59.61,0,3.1
414,Padang,44,ID,1547330623,100,-0.92,100.36,27.31,3.1
415,Bow Island,75,CA,1547326800,28,49.87,-111.38,8,6.2
416,Bajil,0,ES,1547330633,82,38.23,-2.07,-2.99,1.8
417,Aykhal,24,RU,1547330636,44,65.95,111.51,-33.97,1.65
418,Quzhou,88,CN,1547330477,94,28.97,118.86,4.29,1.55
419,Adwa,0,ET,1547330642,41,14.16,38.9,5.06,1.05
420,Cap-aux-Meules,90,CA,1547329140,85,47.38,-61.86,-9,8.7
421,Traiguen,92,CL,1547330652,54,-38.25,-72.68,17.91,1.7
422,Gazojak,12,TM,1547330658,89,41.19,61.4,0.71,7.3
423,Paita,0,PE,1547326800,290,-5.09,-81.11,17,7.7
424,Alyangula,92,AU,1547326800,83,-13.85,136.42,28,2.6
425,Wanning,75,AT,1547329800,93,48.64,13.53,2,5.1
426,Atar,0,MR,1547330671,16,20.52,-13.05,15.71,3.15
427,Chesma,92,RU,1547330675,88,53.81,60.65,-5.29,8.4
428,Maragogi,88,BR,1547330392,97,-9.01,-35.22,24.69,3.65
429,Georgiyevka,68,RU,1547330681,84,52.25,40.45,-11.84,5.1
430,Komadi,80,HU,1547328600,86,47.0,21.5,-1,4.1
431,Farah,0,AF,1547330688,82,32.37,62.11,-1.04,1.15
432,Aklavik,20,CA,1547326800,67,68.22,-135.01,-30,3.1
433,Can,56,IT,1547329800,93,46.08,11.97,0,1.0
434,Letka,20,BA,1547326800,45,43.74,17.27,6,2.1
435,Necochea,12,AR,1547330449,61,-38.55,-58.74,28.21,4.1
436,Alice Springs,0,AU,1547328600,41,-23.7,133.88,26,2.1
437,Whitehorse,90,CA,1547326800,76,60.72,-135.06,-22,2.1
438,Buala,12,SB,1547330722,98,-8.15,159.59,26.89,2.4
439,Sept-Iles,75,CA,1547326800,67,50.2,-66.38,-7,2.1
440,Tipuani,92,BO,1547330728,96,-15.56,-68.02,18.51,0.85
441,Quelimane,20,MZ,1547326800,83,-17.88,36.89,28,2.6
442,Narsaq,88,GL,1547326200,90,60.91,-46.05,0,0.5
443,Bubaque,12,GW,1547330738,97,11.28,-15.83,26.69,4.35
444,Camabatela,64,AO,1547330741,84,-8.19,15.37,19.76,1.9
445,Taoudenni,0,ML,1547330744,30,22.68,-3.98,12.64,5.7
446,Indiana,90,US,1547330160,86,40.62,-79.15,-1,3.1
447,Semme,90,FR,1547328600,93,46.2,1.5,4,4.1
448,Sioux Lookout,90,CA,1547326800,72,50.1,-91.92,-9,1.5
449,Tucuman,76,PE,1547330769,84,-17.17,-70.89,17.64,1.85
450,Linhares,0,BR,1547330774,65,-19.38,-40.06,27.31,4.75
451,Palmer,20,AU,1547328600,52,-34.85,139.16,18,4.6
452,Cayenne,40,GF,1547328600,74,4.94,-52.33,27,3.6
453,Westport,92,IE,1547330784,98,53.8,-9.52,9.31,8.2
454,Broome,92,GB,1547330160,93,52.47,1.45,9.3,5.7
455,Altay,20,CN,1547330784,67,47.83,88.13,-20.69,1.3
456,Bosaso,0,SO,1547330800,99,11.28,49.18,24.56,5.35
457,Srednekolymsk,92,RU,1547330804,61,67.46,153.71,-29.34,1.4
458,Shemursha,64,RU,1547330816,90,54.89,47.52,-10.97,4.0
459,Eyl,64,SO,1547330821,98,7.98,49.82,22.96,7.95
460,Popondetta,44,PG,1547330824,94,-8.77,148.24,21.14,0.95
461,Puerto Leguizamo,88,CO,1547330834,85,-0.19,-74.78,26.29,2.3
462,Woodward,90,US,1547328900,86,36.43,-99.39,2.2,7.7
463,Samarai,56,PG,1547330847,100,-10.62,150.67,26.91,4.9
464,Meulaboh,0,ID,1547330752,100,4.14,96.13,25.31,1.6
465,Piripiri,76,BR,1547330853,90,-4.27,-41.78,24.91,0.7
466,San Vicente,20,SV,1547326200,51,13.64,-88.78,30,3.6
467,Plettenberg Bay,0,ZA,1547330861,100,-34.05,23.37,18.39,3.2
468,Naze,8,NG,1547326800,83,5.43,7.07,28,2.6
469,Kimbe,12,PG,1547330867,100,-5.56,150.15,26.21,1.8
470,Los Llanos de Aridane,0,ES,1547328600,63,28.66,-17.92,16,4.1
471,Letnik,92,RU,1547330880,87,46.01,41.27,-4.82,1.3
472,Loudeac,90,FR,1547328600,93,48.18,-2.75,10,4.6
473,Bulolo,68,PG,1547330886,97,-7.2,146.64,17.29,0.85
474,Pevek,0,RU,1547330889,64,69.7,170.27,-29.77,2.0
475,Porto Novo,40,BR,1547326800,69,-23.68,-45.44,27,7.2
476,Aracati,80,BR,1547330896,56,-4.56,-37.77,29.81,2.5
477,Seminole,1,US,1547328900,45,32.72,-102.64,11.8,3.6
478,Kieta,56,PG,1547330902,100,-6.22,155.63,26.04,1.9
479,Oranjemund,12,ZA,1547330906,95,-28.55,16.43,18.01,2.75
480,Sao Felix do Xingu,36,BR,1547330909,79,-6.64,-51.99,28.41,0.85
481,Broken Hill,0,AU,1547326800,31,-31.97,141.45,23,8.7
482,Takoradi,20,GH,1547330916,100,4.89,-1.75,28.21,2.9
483,Tanabe,0,JP,1547330919,100,33.73,135.39,1.19,4.1
484,Kaseda,75,JP,1547326800,100,31.42,130.32,6,2.6
485,El Real de Santa Maria,44,PA,1547330925,69,8.11,-77.73,28.91,4.35
486,Mingaora,32,PK,1547330935,100,34.78,72.36,-2.37,1.05
487,Erenhot,0,CN,1547330954,53,43.65,111.97,-21.34,2.1
488,Tokur,36,RU,1547330957,47,53.13,132.9,-27.47,0.95
489,Kariba,76,ZW,1547330960,93,-16.53,28.78,23.84,2.0
490,Oyama,75,JP,1547328600,56,36.31,139.8,5,0.5
491,Clyde River,20,CA,1547326800,66,70.47,-68.59,-35,3.6
492,Ormara,0,PK,1547330970,95,25.21,64.64,19.59,2.3
493,Saldanha,0,PT,1547330973,86,41.42,-6.55,-3.59,1.55
494,Trebisacce,5,IT,1547326500,80,39.87,16.53,5,6.2
495,Karur,0,IN,1547330792,89,10.96,78.08,18.14,2.4
496,Hanzhong,8,CN,1547330986,73,33.08,107.03,-10.94,0.95
497,Nelson Bay,75,AU,1547328600,83,-32.72,152.14,24,7.7
498,Okha,0,RU,1547330993,81,53.59,142.95,-15.49,5.9
499,Teknaf,0,BD,1547330996,93,20.86,92.31,13.54,1.8
500,Tiarei,90,PF,1547328600,66,-17.53,-149.33,30,7.2
501,Menongue,76,AO,1547331007,27,-14.66,17.68,25.14,1.7
502,Baijiantan,56,CN,1547331010,67,45.63,85.18,-22.99,1.55
503,Palu,68,ID,1547330820,96,-0.9,119.87,18.79,0.65
504,Adet,0,ET,1547331017,41,11.26,37.49,7.64,1.25
505,Dongsheng,36,CN,1547331020,92,29.72,112.52,2.94,2.45
506,Isangel,68,VU,1547331023,100,-19.55,169.27,25.51,2.1
507,Linares,92,CL,1547331027,44,-35.85,-71.6,18.76,1.35
508,Talaya,0,RU,1547328600,74,55.79,84.89,-32,1.0
509,Warrington,75,GB,1547329800,81,53.39,-2.59,11,12.3
510,Dingle,56,PH,1547331036,94,11.0,122.67,23.66,5.45
511,Raton,40,US,1547326440,56,36.9,-104.44,3.3,5.1
512,Izumo,75,JP,1547328600,86,35.37,132.75,1,2.6
513,Santiago del Estero,12,AR,1547331049,66,-27.8,-64.26,29.01,3.3
514,Evensk,0,RU,1547331056,100,61.92,159.24,-16.84,2.45
515,Dingras,20,PH,1547326800,100,18.1,120.7,21,2.1
516,Whakatane,64,NZ,1547331062,100,-37.96,176.99,20.09,5.45
517,Iguape,0,BR,1547331069,91,-24.7,-47.56,27.84,4.65
518,Jiblah,12,YE,1547331072,95,13.92,44.15,6.56,0.8
519,Wamba,20,CD,1547331075,71,2.14,27.99,23.41,0.95
520,Killybegs,92,IE,1547331078,98,54.63,-8.45,9.39,9.6
521,Kutum,0,SD,1547331082,72,14.2,24.66,11.66,1.15
522,Mayumba,92,GA,1547331088,98,-3.44,10.65,26.54,3.7
523,Lazaro Cardenas,5,MX,1547329440,51,28.39,-105.62,17,5.7
524,Radhanpur,0,IN,1547331096,87,23.83,71.61,15.21,2.75
525,Zabol,0,IR,1547326800,34,31.03,61.49,1,2.1
526,San Quintin,0,PH,1547331102,82,17.54,120.52,16.44,1.15
527,Sobolevo,88,RU,1547331105,93,54.43,31.9,-2.59,6.1
528,Birao,0,CF,1547331109,38,10.3,22.78,21.84,4.1
529,Sofikon,75,GR,1547329800,75,37.8,23.05,6,6.2
530,Durban,90,FR,1547328600,80,43.54,0.58,7,5.1
531,Tezu,0,IN,1547331118,54,27.93,96.16,9.89,0.85
532,Camacha,40,PT,1547328600,67,33.08,-16.33,17,8.7
533,Coihueco,75,CL,1547326800,31,-36.63,-71.83,24,5.1
534,Ahuimanu,40,US,1547328300,68,21.44,-157.84,26.7,1.5
535,Yarada,8,IN,1547326800,93,17.65,83.27,19,1.0
536,Lake Havasu City,90,US,1547330160,36,34.47,-114.34,15.6,1.65
537,Marsa Matruh,0,EG,1547326800,47,31.35,27.25,12,7.2
538,La Asuncion,92,EC,1547331141,100,-1.64,-78.74,10.41,0.95
539,Lata,92,IN,1547331144,100,30.78,78.62,0.39,0.7
540,Port Hedland,56,AU,1547328600,94,-20.31,118.58,27,3.1
541,Ventspils,40,LV,1547328000,100,57.39,21.56,-2,0.5
542,Berlevag,88,NO,1547331155,100,70.86,29.09,-3.94,1.3
543,Sandpoint,1,US,1547330160,74,48.28,-116.55,3.9,4.6
544,Kibala,0,TD,1547326800,44,9.11,18.35,24,1.3
545,Pyapon,80,MM,1547331168,95,16.29,95.68,22.71,2.9
546,Nemuro,12,JP,1547331172,100,43.32,145.57,-2.29,10.25
547,Celestun,0,MX,1547331176,98,20.87,-90.4,23.81,3.45
548,Half Moon Bay,75,US,1547330160,51,37.46,-122.43,17.2,4.1
549,Aksha,0,RU,1547331182,43,50.28,113.29,-26.77,1.2
550,Green Bay,90,US,1547330160,77,44.51,-88.01,-1.1,4.1
551,Namatanai,68,PG,1547331154,100,-3.66,152.44,28.16,6.45
